City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
550,tromso,69.6516,18.9558,277.75,96,100,3.33,NO,1684352145
551,mili,37.5536,22.7169,289.75,71,0,3.02,GR,1684352145
552,metlili chaamba,32.2605,3.6259,296.27,36,43,8.94,DZ,1684352146
553,strezhevoy,60.7328,77.6008,272.12,82,13,1.88,RU,1684352146
554,suksun,57.1464,57.3951,283.59,53,18,2.78,RU,1684352146
555,baruun-urt,46.6809,113.2835,281.42,21,71,2.94,MN,1684352146
556,balqash,46.8433,74.9773,290.44,44,13,6.2,KZ,1684352147
557,tacna,-18.0139,-70.2512,296.02,50,0,4.41,PE,1684352147
558,sosnogorsk,63.5895,53.9306,287.84,62,40,2.91,RU,1684352147
559,nova olinda do norte,-3.8917,-59.0954,300.62,79,92,1.96,BR,1684352116
560,diego de almagro,-26.3911,-70.0459,296.85,29,0,2.59,CL,1684352148
561,sault ste. marie,46.5239,-84.3201,283.14,37,28,3.37,CA,1684352121
562,maintirano,-18.0609,44.024,296.67,84,1,4.07,MG,1684352148
563,zhaotong,27.3418,103.7147,288.47,92,100,2.23,CN,1684352149
564,pitea,65.3135,21.4899,279.29,91,100,2.35,SE,1684352149
565,byron bay,-28.6483,153.6178,282.43,88,59,5.06,AU,1684352149
566,sompeta,18.9425,84.584,300.55,71,5,4.63,IN,1684352150
567,callao,-12.0523,-77.1391,294.96,76,38,4.58,PE,1684352150
568,mil'kovo,54.6904,158.6099,281.8,75,9,0.49,RU,1684352150
569,marte,12.365,13.8302,306.96,39,99,3.31,NG,1684352150
570,beberibe,-4.181,-38.1298,300.01,82,99,3.5,BR,1684352151
571,arno,7.063,171.5553,301.27,77,14,6.33,MH,1684352151
572,toliara,-23.3542,43.6697,293.42,70,0,2.15,MG,1684352151
573,broome,-17.9567,122.224,296.96,48,31,5.37,AU,1684352152
